ISO6393	Status	Pop.Size	simp.status
kva	"Threatened (20 percent certain, based on the evidence available)"	4000	threatened
yha	"Severely Endangered (40 percent certain, based on the evidence available)"		severely_endangered
bjh	"Vulnerable (60 percent certain, based on the evidence available)"	700	vulnerable
bhj	"Critically Endangered (80 percent certain, based on the evidence available)"		critically_endangered
bsu; baho1237	"Endangered (20 percent certain, based on the evidence available)"	180	endangered
bdj	"Threatened (20 percent certain, based on the evidence available)"	"2,500"	threatened
bbf	"Endangered (20 percent certain, based on the evidence available)"	271	endangered
"snn, sey"	"Threatened (20 percent certain, based on the evidence available)"	"1,174"	threatened
bkx	"Vulnerable (20 percent certain, based on the evidence available)"	"20,000"	vulnerable
bqh	"Threatened (100 percent certain, based on the evidence available)"	10000	threatened
bcz	"Threatened (20 percent certain, based on the evidence available)"	"~6,000"	threatened
bcb	"Threatened (20 percent certain, based on the evidence available)"	"1,850"	threatened
1id	"Threatened (20 percent certain, based on the evidence available)"	"1,100"	threatened
0tz	"Vulnerable (40 percent certain, based on the evidence available)"		vulnerable
bjm	"Vulnerable (20 percent certain, based on the evidence available)"	"20,000"	vulnerable
bkc	"Vulnerable (60 percent certain, based on the evidence available)"	30000	vulnerable
5h1	"Severely Endangered (80 percent certain, based on the evidence available)"	140	severely_endangered
bkq	"Endangered (20 percent certain, based on the evidence available)"	900	endangered
bki	"Endangered (20 percent certain, based on the evidence available)"	150	endangered
kme	"Endangered (20 percent certain, based on the evidence available)"	300	endangered
bbs	"Threatened (20 percent certain, based on the evidence available)"	"3,416"	threatened
bls	"Threatened (100 percent certain, based on the evidence available)"	3200	threatened
bdn	"Critically Endangered (20 percent certain, based on the evidence available)"	<3	critically_endangered
bcn	"Threatened (20 percent certain, based on the evidence available)"	1000	threatened
bgx	"Threatened (60 percent certain, based on the evidence available)"	"331,000"	threatened
rmn	"At risk (20 percent certain, based on the evidence available)"	"611,800"	at_risk
bft	"At risk (60 percent certain, based on the evidence available)"	"337,000 (Worldwide)"	at_risk
rml	"Vulnerable (20 percent certain, based on the evidence available)"	"58,460"	vulnerable
bfk	"Endangered (20 percent certain, based on the evidence available)"	>400	endangered
bcw	"Vulnerable (20 percent certain, based on the evidence available)"	"23,000"	vulnerable
byz	"Threatened (20 percent certain, based on the evidence available)"	"2,569"	threatened
jaa-kit	"Endangered (20 percent certain, based on the evidence available)"	100	endangered
bqj	"Threatened (20 percent certain, based on the evidence available)"	"~7,000"	threatened
